Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A830929,*Otter,3/18/2021 15:58,3/18/2021 15:58,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 weeks,Australian Shepherd Mix,Chocolate/White
A830927,*Dingo,3/18/2021 15:58,3/18/2021 15:58,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 weeks,Australian Shepherd Mix,Blue Merle/White
A830913,*Banana,3/18/2021 15:46,3/18/2021 15:46,Austin (TX),Public Assist,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair,Brown/Tan
A829957,Ridley,3/18/2021 14:05,3/18/2021 14:05,Ed Bluestein And Springdale in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull,Black/White
A830906,Garf,3/18/2021 13:31,3/18/2021 13:31,Austin (TX),Owner Surrender,Sick,Cat,Intact Male,1 year,Domestic Longhair,Orange Tabby
A830907,Dart,3/18/2021 13:31,3/18/2021 13:31,Austin (TX),Owner Surrender,Sick,Cat,Intact Male,1 year,Domestic Longhair,Black
A830901,Barry,3/18/2021 13:00,3/18/2021 13:00,Austin (TX),Owner Surrender,Sick,Dog,Neutered Male,5 years,Pit Bull Mix,Black
A826542,Mia,3/18/2021 12:20,3/18/2021 12:20,810 Bastrop Highway in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,American Staffordshire Terrier,Gray/White
A830899,,3/18/2021 12:16,3/18/2021 12:16,Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A830900,Nathan,3/18/2021 11:54,3/18/2021 11:54,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Cream Tabby
A830893,Bruce,3/18/2021 11:04,3/18/2021 11:04,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Black/White
A818693,Ginger,3/18/2021 10:41,3/18/2021 10:41,7201 Levander Loop in Austin (TX),Abandoned,Normal,Cat,Spayed Female,1 year,Domestic Shorthair,Orange Tabby
A830883,*Stanley,3/18/2021 9:56,3/18/2021 9:56,12014 Blake Hills Drive in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Black/Brown
A830865,*65 Grams,3/18/2021 8:29,3/18/2021 8:29,3306 Goodwin Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,1 day,Domestic Shorthair,Tortie
A830853,,3/18/2021 8:25,3/18/2021 8:25,38Th 1/2 Street in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby/White
A830881,Dixie,3/18/2021 8:10,3/18/2021 8:10,William Cannon And Menchaca in Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Chihuahua Shorthair,Brown/White
A830874,Bronx,3/17/2021 23:55,3/17/2021 23:55,10600 Brezza Lane in Austin (TX),Owner Surrender,Behavior,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
A830872,David Farwell,3/17/2021 20:54,3/17/2021 20:54,7505 Bennett in Austin (TX),Stray,Injured,Cat,Neutered Male,3 years,Domestic Shorthair,Brown Tabby
A830869,*147 Grams,3/17/2021 20:29,3/17/2021 20:29,5507 Larchbrook in Austin (TX),Stray,Nursing,Cat,Intact Male,6 days,Domestic Shorthair,Blue
A830868,*155 Grams,3/17/2021 20:29,3/17/2021 20:29,5507 Larchbrook in Austin (TX),Stray,Nursing,Cat,Intact Male,6 days,Domestic Shorthair,Brown Tabby
A830867,*132 Grams,3/17/2021 20:29,3/17/2021 20:29,5507 Larchbrook in Austin (TX),Stray,Nursing,Cat,Intact Female,6 days,Domestic Shorthair,Brown Tabby
A830870,*138 Grams,3/17/2021 20:29,3/17/2021 20:29,5507 Larchbrook in Austin (TX),Stray,Nursing,Cat,Intact Female,6 days,Domestic Shorthair,Black
A830871,*139 Grams,3/17/2021 20:29,3/17/2021 20:29,5507 Larchbrook in Austin (TX),Stray,Nursing,Cat,Intact Male,6 days,Domestic Shorthair,Blue Tabby
A830863,,3/17/2021 18:38,3/17/2021 18:38,70 Rainey Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown
A830860,,3/17/2021 17:44,3/17/2021 17:44,Austin (TX),Owner Surrender,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair,Blue Tabby
A830858,,3/17/2021 17:44,3/17/2021 17:44,Austin (TX),Owner Surrender,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby
A830862,,3/17/2021 17:44,3/17/2021 17:44,Austin (TX),Owner Surrender,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair,Brown Tabby/White
A830859,,3/17/2021 17:44,3/17/2021 17:44,Austin (TX),Owner Surrender,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Orange Tabby
A830861,,3/17/2021 17:44,3/17/2021 17:44,Austin (TX),Owner Surrender,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby/White
A830857,*Petunia,3/17/2021 17:44,3/17/2021 17:44,Austin (TX),Owner Surrender,Nursing,Cat,Intact Female,8 months,Domestic Shorthair,Torbie
A753404,Marley,3/17/2021 17:21,3/17/2021 17:21,4701 Creek Bend Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Pit Bull Mix,Black/Brown
A830851,Callie,3/17/2021 16:04,3/17/2021 16:04,8524 Burnet Road in Austin (TX),Public Assist,Normal,Cat,Spayed Female,4 years,Domestic Shorthair,Torbie/White
A736916,Nala,3/17/2021 15:43,3/17/2021 15:43,Southwick Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Tan
A830852,Sugar,3/17/2021 15:10,3/17/2021 15:10,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,9 years,Ragdoll,Flame Point
A830847,,3/17/2021 14:45,3/17/2021 14:45,Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Raccoon,Gray/Black
A830846,,3/17/2021 14:00,3/17/2021 14:00,Ayala Drive in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Miniature Schnauzer,Gray
A830848,*Chili,3/17/2021 13:58,3/17/2021 13:58,Peach Grove Road And Fence Road in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Pit Bull Mix,Brown/White
A830835,Domino,3/17/2021 11:33,3/17/2021 11:33,10700 Macmora Road in Austin (TX),Stray,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,White/Black
A830833,Gomble,3/17/2021 11:31,3/17/2021 11:31,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Domestic Shorthair,White/Brown Tabby
A830832,Vincent,3/17/2021 11:11,3/17/2021 11:11,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,8 years,Domestic Shorthair,Black/White
A830827,*Bertie,3/17/2021 10:29,3/17/2021 10:29,8807 Dandelion Trail in Austin (TX),Stray,Normal,Cat,Spayed Female,7 years,Domestic Shorthair,Gray
A830820,Bubba,3/17/2021 8:20,3/17/2021 8:20,Austin (TX),Abandoned,Sick,Dog,Intact Male,1 month,Boxer Mix,Brown Brindle/White
A830819,Chum Chum,3/17/2021 7:14,3/17/2021 7:14,Austin (TX),Owner Surrender,Injured,Dog,Intact Male,3 months,Great Pyrenees,White
A830804,,3/16/2021 17:00,3/16/2021 17:00,1071 Clayton Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Great Pyrenees Mix,White/Cream
A830803,,3/16/2021 17:00,3/16/2021 17:00,1071 Clayton Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Great Pyrenees Mix,White/Cream
A814568,*Moxxy,3/16/2021 16:39,3/16/2021 16:39,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black/White
A830805,,3/16/2021 16:27,3/16/2021 16:27,12Th St in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A830800,Dmitri,3/16/2021 15:22,3/16/2021 15:22,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Brown Brindle/White
A830799,,3/16/2021 15:17,3/16/2021 15:17,7900 East Riverside Drive in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Black
A830798,Manny,3/16/2021 15:11,3/16/2021 15:11,7010 West State Highway 71 in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Great Pyrenees/Labrador Retriever,White/Brown
A830797,Yaco,3/16/2021 15:11,3/16/2021 15:11,7010 West State Highway 71 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Brown/Black
A830580,Princess Peach,3/16/2021 15:08,3/16/2021 15:08,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 months,Treeing Walker Coonhound Mix,White/Black
A830796,,3/16/2021 15:02,3/16/2021 15:02,East State Highway 71 in Austin (TX),Stray,Sick,Dog,Intact Female,2 months,German Shepherd Mix,Black/Brown
A666562,Clifford,3/16/2021 14:41,3/16/2021 14:41,1907 Espino Cove in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Chihuahua Shorthair Mix,Brown/Black
A830768,,3/16/2021 14:31,3/16/2021 14:31,17416 Sleepy Hollow in Travis (TX),Wildlife,Sick,Other,Unknown,1 year,Fox,Gray
A830794,*Toby,3/16/2021 13:57,3/16/2021 13:57,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,12 years,Domestic Medium Hair,Black
A830783,,3/16/2021 13:56,3/16/2021 13:56,4700 Alf Avenue in Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Raccoon,Black
A830792,Hunnii,3/16/2021 13:56,3/16/2021 13:56,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A830793,Thing,3/16/2021 13:55,3/16/2021 13:55,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair,Black
A830791,Greyboy,3/16/2021 13:55,3/16/2021 13:55,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,6 years,Domestic Shorthair,Blue/White
A830790,Sweety,3/16/2021 13:53,3/16/2021 13:53,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,11 years,Domestic Longhair,Orange Tabby
A827785,Dexter,3/16/2021 12:58,3/16/2021 12:58,11319 Parsons Road in Manor (TX),Public Assist,Normal,Dog,Intact Male,2 years,American Foxhound,Brown/White
A827789,Oreo,3/16/2021 12:58,3/16/2021 12:58,11319 Parsons Road in Manor (TX),Public Assist,Normal,Dog,Intact Male,1 year,Black/Tan Hound,Black/White
A827786,Vanilla,3/16/2021 12:58,3/16/2021 12:58,11319 Parsons Road in Manor (TX),Public Assist,Normal,Dog,Intact Male,1 year,American Foxhound,White/Brown
A830787,Zimba,3/16/2021 12:54,3/16/2021 12:54,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 years,Siamese,Lynx Point
A826536,Hayes,3/16/2021 12:25,3/16/2021 12:25,Manor (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,German Shepherd,Black/Brown
A830781,,3/16/2021 12:21,3/16/2021 12:21,107 Fuentes Trail in Travis (TX),Stray,Sick,Cat,Unknown,6 years,Domestic Shorthair Mix,Brown Tabby/White
A825835,*Malala,3/16/2021 12:05,3/16/2021 12:05,12000 South Ih 35 in Austin (TX),Stray,Normal,Cat,Spayed Female,5 years,Domestic Shorthair,Calico
A830773,,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Injured,Cat,Intact Female,3 years,Domestic Shorthair,Blue Tabby/White
A830776,,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Female,1 weeks,Domestic Shorthair,Brown Tabby
A830780,,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Female,1 weeks,Domestic Shorthair,Brown Tabby
A830777,,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue Tabby/White
A830774,*Striper,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby
A830778,*Grouper,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue Tabby/White
A830779,*Mackerel,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby/White
A830775,*Snapper,3/16/2021 11:28,3/16/2021 11:28,5201 Scottish Thistle Drive in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair,Brown Tabby
A830771,Frances,3/16/2021 10:46,3/16/2021 10:46,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,White/Black
A830770,,3/16/2021 10:45,3/16/2021 10:45,9105 Cedar Crest Drive in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Skunk,Black/White
A829020,Mixie,3/16/2021 10:38,3/16/2021 10:38,Austin (TX),Public Assist,Normal,Dog,Spayed Female,12 years,American Pit Bull Terrier,Brown Brindle/White
A830765,,3/16/2021 9:51,3/16/2021 9:51,Austin (TX),Public Assist,Normal,Dog,Neutered Male,5 years,Maltese,White
A830759,*Salander,3/16/2021 7:38,3/16/2021 7:38,1307 Harrison Lane in Austin (TX),Stray,Injured,Cat,Intact Male,8 months,Domestic Shorthair,Brown Tabby/White
A830749,,3/16/2021 6:11,3/16/2021 6:11,13333 West Highway 71 in Travis (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Black
A826869,Samwise Gamgee,3/15/2021 17:34,3/15/2021 17:34,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown
A830736,Lao Stu,3/15/2021 17:13,3/15/2021 17:13,2025 Wayward Sun in Austin (TX),Stray,Normal,Dog,Intact Male,15 years,Border Collie,Black/White
A830740,Bruno,3/15/2021 16:52,3/15/2021 16:52,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Australian Shepherd,Black/Tan
A830737,*Covey,3/15/2021 16:30,3/15/2021 16:30,5304 Kara Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Great Pyrenees,White
A830734,*Clive,3/15/2021 16:25,3/15/2021 16:25,3101 Shoreline Drive in Travis (TX),Abandoned,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Black
A830726,Sadie,3/15/2021 14:37,3/15/2021 14:37,Rio Rojo in Travis (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever/Standard Poodle,White
A830724,,3/15/2021 14:20,3/15/2021 14:20,2513 Dove Drive in Austin (TX),Stray,Injured,Other,Intact Female,2 years,Rabbit Sh,White/White
A673963,Harry,3/15/2021 13:30,3/15/2021 13:30,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Australian Cattle Dog Mix,Red Tick/Orange
A830717,*Pips,3/15/2021 13:12,3/15/2021 13:12,10315 North Platt River Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair Mix,Brown Tabby
A807091,Otis,3/15/2021 13:01,3/15/2021 13:01,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black
A830711,,3/15/2021 12:47,3/15/2021 12:47,Galilee And Damita Jo Drive in Manor (TX),Stray,Sick,Dog,Intact Female,1 year,Chihuahua Shorthair,Tan
A830702,,3/15/2021 12:44,3/15/2021 12:44,2801 Misty Shore Lane in Pflugerville (TX),Stray,Injured,Dog,Intact Female,13 years,Pomeranian,Brown
A823252,Margo,3/15/2021 12:03,3/15/2021 12:03,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair,Calico
A830197,*Werner,3/15/2021 11:54,3/15/2021 11:54,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Italian Greyhound Mix,Tan/White
A829769,*Mochi,3/15/2021 11:44,3/15/2021 11:44,5801 Tom Wooten Cove in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Brown/White
A830706,Moky,3/15/2021 10:55,3/15/2021 10:55,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Catahoula Mix,Black/White
A830699,Molly,3/15/2021 9:16,3/15/2021 9:16,4322 Gillis Street in Austin (TX),Public Assist,Normal,Dog,Intact Female,7 years,Labrador Retriever,Black
A830696,Sasha,3/14/2021 20:35,3/14/2021 20:35,Thyone Dr And South Fm 973 in Travis (TX),Stray,Normal,Dog,Intact Female,5 years,Alaskan Husky,Red/White
A830693,,3/14/2021 16:45,3/14/2021 16:45,North Ih 35 in Austin (TX),Stray,Injured,Cat,Intact Female,2 months,Domestic Shorthair,Blue Tabby
A830689,,3/14/2021 16:14,3/14/2021 16:14,1521 Goldilocks Lane in Travis (TX),Wildlife,Sick,Other,Unknown,3 months,Skunk,Black/White
A830688,*Mona,3/14/2021 15:41,3/14/2021 15:41,Turtle Dove Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,White/Brown
A830686,*Rory,3/14/2021 15:12,3/14/2021 15:12,71086 Blake Manor Road in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Brown/White
A830682,Lionel,3/14/2021 15:08,3/14/2021 15:08,3210 Caleb Drive in Travis (TX),Stray,Sick,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby
A830683,*Roca,3/14/2021 14:40,3/14/2021 14:40,North Lamar And West Longspur Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Pit Bull,Blue/White
A830679,Mamas,3/14/2021 13:16,3/14/2021 13:16,17304 Hamilton Pool Road in Travis (TX),Stray,Injured,Dog,Intact Female,4 years,Weimaraner/Labrador Retriever,Gray
A830671,Charlie,3/14/2021 8:06,3/14/2021 8:06,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Spayed Female,3 years,Labrador Retriever,Chocolate
A830670,Benjamin Button,3/14/2021 7:54,3/14/2021 7:54,904 West Ben White Boulevard in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Cairn Terrier,Black/Brown
A830634,Bevo,3/14/2021 7:52,3/14/2021 7:52,1909 Vallejo Street in Austin (TX),Stray,Injured,Cat,Neutered Male,6 years,Domestic Shorthair,Orange Tabby/White
A830659,,3/13/2021 15:16,3/13/2021 15:16,Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Raccoon,Black/Gray
A830656,,3/13/2021 13:42,3/13/2021 13:42,Mopac Expressway And Us 183 in Austin (TX),Stray,Aged,Cat,Intact Female,8 years,Domestic Shorthair,Blue Tabby
A830653,*Topaz,3/13/2021 12:34,3/13/2021 12:34,1900 East Howard Lane in Travis (TX),Stray,Injured,Dog,Intact Female,2 years,Doberman Pinsch Mix,Black/Brown
A830652,*Maui,3/13/2021 11:25,3/13/2021 11:25,Rundberg And Ih 35 in Austin (TX),Stray,Sick,Cat,Intact Male,5 months,Domestic Shorthair,Orange Tabby
A830639,,3/13/2021 8:24,3/13/2021 8:24,Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A823880,Billy Joel,3/13/2021 8:11,3/13/2021 8:11,Austin (TX),Public Assist,Normal,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Brown
A830730,,3/13/2021 5:00,3/13/2021 5:00,Travis (TX),Public Assist,Nursing,Cat,Unknown,0 years,Domestic Shorthair,Black/White
A830729,,3/13/2021 5:00,3/13/2021 5:00,Travis (TX),Public Assist,Nursing,Cat,Intact Female,0 years,Domestic Shorthair,Blue Tabby
A830728,,3/13/2021 5:00,3/13/2021 5:00,Travis (TX),Public Assist,Nursing,Cat,Intact Female,0 years,Domestic Shorthair,Torbie
A830632,,3/12/2021 20:27,3/12/2021 20:27,23423 Oscar Road in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Fox,Red/Gray
A830515,,3/12/2021 20:22,3/12/2021 20:22,402 Zennia Street in Austin (TX),Stray,Normal,Cat,Neutered Male,3 years,Domestic Medium Hair,Black
A830633,,3/12/2021 19:41,3/12/2021 19:41,2215 East 2Nd Street in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A830628,Buck,3/12/2021 17:37,3/12/2021 17:37,Nuckols Crossing And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd,Tan/Black
A830629,Boris,3/12/2021 17:37,3/12/2021 17:37,Nuckols Crossing And Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Border Collie/German Shepherd,Chocolate/White
A830625,,3/12/2021 17:10,3/12/2021 17:10,Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Skunk,Black/White
A830621,Koko Puff,3/12/2021 16:15,3/12/2021 16:15,515 East Slaughter in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,White/Brown
A830623,,3/12/2021 16:13,3/12/2021 16:13,6801 Stonleigh Place in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Golden Retriever,Tan
A830622,*Iris,3/12/2021 16:13,3/12/2021 16:13,6801 Stonleigh Place in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Border Collie Mix,Black/White
A830616,Shy,3/12/2021 13:47,3/12/2021 13:47,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,3 years,Domestic Shorthair,Brown Tabby/White
A830613,*Coco,3/12/2021 12:48,3/12/2021 12:48,114 West 7Th St in Austin (TX),Stray,Normal,Cat,Intact Female,5 months,Domestic Shorthair,Torbie
A830615,Soul,3/12/2021 12:07,3/12/2021 12:07,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair,Black/White
A830610,Lc,3/12/2021 10:59,3/12/2021 10:59,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
A830609,Rocco,3/12/2021 10:44,3/12/2021 10:44,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,German Shepherd,Gray/White
A792977,Mylo,3/12/2021 10:44,3/12/2021 10:44,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Tan
A830607,Leo,3/12/2021 10:19,3/12/2021 10:19,302 Blueberry Hill in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby
A711134,Brownie,3/12/2021 10:06,3/12/2021 10:06,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,10 years,Dachshund,Tan
A830603,Princess,3/12/2021 10:06,3/12/2021 10:06,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,10 years,Dachshund,Tan
A830604,Boogie,3/12/2021 10:06,3/12/2021 10:06,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Dachshund,Chocolate/Tan
A830595,Lola,3/12/2021 8:21,3/12/2021 8:21,2900 West 45Th in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Pit Bull,Brown Brindle/White
A830594,*Lulu,3/12/2021 8:04,3/12/2021 8:04,Fm 973 And Decker Lake Road in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Great Pyrenees Mix,White
A830593,Ghost,3/12/2021 7:19,3/12/2021 7:19,Nueces in Austin (TX),Stray,Injured,Cat,Neutered Male,3 years,Domestic Shorthair,Brown Tabby
A830591,,3/12/2021 6:29,3/12/2021 6:29,715 East 8Th Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown
A830588,,3/11/2021 18:40,3/11/2021 18:40,13309 Vizquel in Austin (TX),Stray,Sick,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Brown Merle
A830587,,3/11/2021 18:40,3/11/2021 18:40,13309 Vizquel in Austin (TX),Stray,Sick,Dog,Intact Female,1 month,Australian Cattle Dog Mix,Brown Brindle/Brown Merle
A709091,Nina,3/11/2021 17:39,3/11/2021 17:39,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,6 years,Dachshund Mix,Brown
A830586,Jade,3/11/2021 17:20,3/11/2021 17:20,7414 Johnny Morris Road in Austin (TX),Stray,Normal,Dog,Spayed Female,8 years,Dachshund Mix,Black/Brown
A830584,*Teagan,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Treeing Walker Coonhound Mix,White/Brown
A830582,*Doyle,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Treeing Walker Coonhound Mix,Chocolate/White
A830583,*Fallon,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Treeing Walker Coonhound Mix,White/Brown
A830585,*Clancy,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,2 months,Treeing Walker Coonhound Mix,White/Brown
A830578,*Finola,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Treeing Walker Coonhound Mix,Tricolor
A830579,*Maddy,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Treeing Walker Coonhound Mix,White/Black
A830577,*Aisling,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Treeing Walker Coonhound Mix,Brown/White
A830580,Princess Peach,3/11/2021 17:12,3/11/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Treeing Walker Coonhound Mix,White/Black
A830575,Ding,3/11/2021 16:39,3/11/2021 16:39,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Australian Shepherd Mix,Black/Tan
A830573,*Pee Wee,3/11/2021 16:04,3/11/2021 16:04,10607 Fm 969 in Austin (TX),Owner Surrender,Normal,Cat,Intact Male,6 months,Domestic Shorthair,Brown Tabby/White
A830574,*Tater,3/11/2021 16:04,3/11/2021 16:04,10607 Fm 969 in Austin (TX),Owner Surrender,Normal,Cat,Intact Male,6 months,Domestic Shorthair,Brown Tabby/White
A830572,Bennie,3/11/2021 16:02,3/11/2021 16:02,99012 Francia Trail in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair,Calico
A830571,*Cota,3/11/2021 15:56,3/11/2021 15:56,9201 Circuit Of The Americas Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Black/White
A830568,*Nori,3/11/2021 15:21,3/11/2021 15:21,10535 Becker Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever,White
A830471,Puddles,3/11/2021 15:10,3/11/2021 15:10,12051 Cameron Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,White
A830570,Max,3/11/2021 14:47,3/11/2021 14:47,Airport And Guadalupe Street in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Miniature Poodle,Gray
A830565,,3/11/2021 13:45,3/11/2021 13:45,9200 North Plaza in Austin (TX),Stray,Injured,Cat,Intact Female,5 years,Domestic Shorthair,Tortie
A830563,Zeus,3/11/2021 13:20,3/11/2021 13:20,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Pit Bull,Black
A830558,*Gracie,3/11/2021 12:37,3/11/2021 12:37,17821 Prairie Verbena Lane in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Collie Smooth,Brown/White
